ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
C1	巴	巴	pa55	pa55	baa1	2002年楊煥典《現代漢語方言音庫(字庫)》P2-3		
C2	拔	拔	pat2	pat2	baat6	2002年楊煥典《現代漢語方言音庫(字庫)》P2-3		
C3	髮	发	fat3	fat3	faat3	2002年楊煥典《現代漢語方言音庫(字庫)》P2-3		原文作「髪」字
C4	伐	伐	fat2	fat2	faat6	2002年楊煥典《現代漢語方言音庫(字庫)》P2-3		
C5	法	法	fat3	fat3	faat3	2002年楊煥典《現代漢語方言音庫(字庫)》P2-3		
C6	達	达	tat2	tat2	daat6	2002年楊煥典《現代漢語方言音庫(字庫)》P4-5		
C7	答	答	tap3	tap3	daap3	2002年楊煥典《現代漢語方言音庫(字庫)》P4-5		
C8	塔	塔	thap3	tʰap3	taap3	2002年楊煥典《現代漢語方言音庫(字庫)》P4-5		
C9	拿	拿	na21	na21	naa4	2002年楊煥典《現代漢語方言音庫(字庫)》P4-5		
C10	納	纳	nap2	nap2	naap6	2002年楊煥典《現代漢語方言音庫(字庫)》P4-5		
C11	臘	腊	lap2	lap2	laap6	2002年楊煥典《現代漢語方言音庫(字庫)》P6-7		
C12	辣	辣	lat2	lat2	laat6	2002年楊煥典《現代漢語方言音庫(字庫)》P6-7		
C13	雜	杂	tsap2	tʃap35	zaap2	2002年楊煥典《現代漢語方言音庫(字庫)》P6-7		
C14	撒	撒	ɬat3	ɬat3	slaat3	2002年楊煥典《現代漢語方言音庫(字庫)》P6-7		
C15	閘	闸	tsap2	tʃap2	zaap6	2002年楊煥典《現代漢語方言音庫(字庫)》P6-7		
C16	鍘	铡	tsap2	tʃap2	zaap6	2002年楊煥典《現代漢語方言音庫(字庫)》P8-9		
C17	炸	炸	tsa33	tʃa33	zaa3	2002年楊煥典《現代漢語方言音庫(字庫)》P8-9		
C18	叉	叉	tsha55	tʃʰa55	caa1	2002年楊煥典《現代漢語方言音庫(字庫)》P8-9		
C19	插	插	tshap3	tʃʰap3	caap3	2002年楊煥典《現代漢語方言音庫(字庫)》P8-9		
C20	茶	茶	tsha21	tʃʰa21	caa4	2002年楊煥典《現代漢語方言音庫(字庫)》P8-9		
C21	察	察	tshat3	tʃʰat3	caat3	2002年楊煥典《現代漢語方言音庫(字庫)》P10-11		
C22	殺	杀	sat3	ʃat3	saat3	2002年楊煥典《現代漢語方言音庫(字庫)》P10-11		
C23	沙	沙	sa55	ʃa24	saa5	2002年楊煥典《現代漢語方言音庫(字庫)》P10-11		
C24	剎	刹	sat3	ʃat3	saat3	2002年楊煥典《現代漢語方言音庫(字庫)》P10-11		
C25	家	家	ka55	ka55	gaa1	2002年楊煥典《現代漢語方言音庫(字庫)》P10-11		
C26	甲	甲	kap3	kap3	gaap3	2002年楊煥典《現代漢語方言音庫(字庫)》P12-13		
C27	恰	恰	hap3	hap3	haap3	2002年楊煥典《現代漢語方言音庫(字庫)》P12-13		原文誤作[hip3]
C28	蝦	虾	ha55	ha55	haa1	2002年楊煥典《現代漢語方言音庫(字庫)》P12-13	魚～	
C29	瞎	瞎	hɐt2	hɐt2	hat6	2002年楊煥典《現代漢語方言音庫(字庫)》P12-13		
C30	狹	狭	hap3	hap3	haap3	2002年楊煥典《現代漢語方言音庫(字庫)》P12-13		
C31	下	下	ha24	ha24	haa5	2002年楊煥典《現代漢語方言音庫(字庫)》P14-15	底～	
C32	下	下	ha22	ha22	haa6	2002年楊煥典《現代漢語方言音庫(字庫)》P14-15	～降	
C33	鴉	鸦	a55	a55	aa1	2002年楊煥典《現代漢語方言音庫(字庫)》P14-15		
C34	鴨	鸭	ap3	ap3	aap3	2002年楊煥典《現代漢語方言音庫(字庫)》P14-15		
C35	牙	牙	ŋa21	ŋa21	ngaa4	2002年楊煥典《現代漢語方言音庫(字庫)》P14-15		
